,time,velocity,altitude,throttle,elevator,aileron,rudder,moment_aileron,power_aileron,moment_elevator,power_elevator,moment_rudder,power_rudder
0,0.0,540.0,6200.0,0.1395,-0.01821096453413813,0.0,0.0,-0.31480217787794706,0.0,269.33033110140747,0.0,-2.183528052845163,0.0
1,0.03333333333333333,540.9704739533312,6183.661320605414,0.1395,-0.021897915572967375,-0.30951142949298277,0.06416405744094968,608.110865693581,-2118.832065471745,325.6898081279641,-13.517881061551124,-1222.8272297867002,-883.2710619363698
2,0.06666666666666667,541.9412054276279,6167.304205444023,0.1395,-0.02518635127958389,-0.3752457891787809,0.10210763823257667,740.3566518221703,-547.8611462284596,376.51815409144695,-13.938381857157731,-1952.5710386023943,-834.03108818524
3,0.1,542.9120235090056,6150.928180936897,0.1395,-0.02799251862444026,-0.3752457891787809,0.1288020348094769,743.3950318963182,0.0,420.47803559770585,-13.282932426689026,-2472.481811405755,-743.0025355028156
4,0.13333333333333333,543.882769790444,6134.532825927476,0.1395,-0.030348715404159912,-0.3752457891787809,0.14730499121459675,746.4409270540231,0.0,457.96946891290867,-12.147451297218234,-2838.832200285659,-591.3136854733943
5,0.16666666666666666,544.8533110226343,6118.117764781437,0.1395,-0.032333138479274326,-0.3752457891787809,0.15943609344370438,749.4938316207912,0.0,490.09854823266375,-10.948503630031517,-3084.896524881787,-421.28689147434807
6,0.19999999999999998,545.8235378964258,6101.682607478501,0.1395,-0.0340211667435327,-0.3752457891787809,0.16661884969579502,752.5533963211226,0.0,517.9478644183895,-9.84244152147915,-3236.820720196109,-261.7259932282957
7,0.2333333333333333,546.7933628686924,6085.226997312958,0.1395,-0.03546892398131009,-0.3752457891787809,0.17002607409998166,755.6193488307886,0.0,542.3232596305076,-8.838754232970228,-3316.304948372382,-127.20151352961977
8,0.26666666666666666,547.7627173969391,6068.75059016805,0.1395,-0.03671409062379173,-0.3752457891787809,0.17060500306156065,758.6914799725325,0.0,563.7604208722137,-7.9024024329485005,-3340.999140515333,-21.774025255830857
9,0.3,548.7315467147716,6052.252978988708,0.1395,-0.03776971623123886,-0.3752457891787809,0.16906997806703924,761.7696617427208,0.0,582.4237750125695,-6.921274820792851,-3324.2718919043377,57.44458166875936
10,0.3333333333333333,549.6998123209263,6035.73374298737,0.1395,-0.03863498332370748,-0.3752457891787809,0.16599917605209064,764.8537942006692,0.0,598.2655389321294,-5.827486241184079,-3277.0289939723243,113.28415851043971
11,0.36666666666666664,550.6674911171893,6019.192438141224,0.1395,-0.03930336193086571,-0.3752457891787809,0.1618590532407277,767.9437985498055,0.0,611.1484441841225,-4.598395629460736,-3208.144875614609,149.52171803916957
12,0.39999999999999997,551.6345738468391,6002.628571111007,0.1395,-0.039758750191507916,-0.3752457891787809,0.156980065408799,771.0396473780262,0.0,620.783787132167,-3.18243307258137,-3123.9358658312963,171.58089406036413
13,0.4333333333333333,552.6010656753103,5986.041600272142,0.1395,-0.03998208278290112,-0.3752457891787809,0.1515991091122593,774.1413476020384,0.0,626.8321010804721,-1.5759426777439385,-3028.954432168918,183.48023462868434
14,0.4666666666666666,553.5669847218317,5969.43093604012,0.1395,-0.03996355921875012,-0.3752457891787809,0.14591105963428708,777.2489298406472,0.0,629.0950076050709,0.13118309550920765,-2926.9857333063933,187.4222094530343
15,0.49999999999999994,554.5323600492706,5952.795942523156,0.1395,-0.03969123421392572,-0.3752457891787809,0.13986637791268824,780.362452647434,0.0,627.3375063752098,1.9232062227234126,-2816.9565354492174,191.68611994064636
16,0.5333333333333333,555.4972424231452,5936.135881635129,0.1395,-0.039201956454399806,-0.32996244546142867,0.13557005331719207,688.913773067464,351.1886222762577,622.0971842087012,3.4265004474849383,-2741.3249468178915,132.58508953384228
17,0.5666666666666667,556.4616832615875,5919.449860609594,0.1395,-0.038628345605230874,-0.3098055679596155,0.13481618767261952,649.4001916823632,147.35767180220043,615.4496473004323,3.9741748098502323,-2736.9175662044045,23.22698027771494
18,0.6,557.4257116130694,5902.736891861216,0.1395,-0.0381061005316107,-0.3025682966429306,0.1357258476096348,636.75217579599,51.87789836342048,609.5538731222955,3.583633017683927,-2766.309326538042,-28.328063759458548
19,0.6333333333333333,558.3893610579383,5885.995992199625,0.1395,-0.037675044744881835,-0.3017729082071382,0.13735420166158802,637.602846879435,5.709086224120133,605.0611140920819,2.9360929795696706,-2810.5772091329186,-51.5206628234147
20,0.6666666666666666,559.3526697457778,5869.226161341919,0.1395,-0.03735484178464876,-0.3036114816754454,0.13913236804161105,644.0344404885944,-13.329908346456396,602.3072151735831,2.1711033153788035,-2858.2139256376786,-57.214249801205256
21,0.7,560.3156826014313,5852.4263869762335,0.1395,-0.037171391110555424,-0.306160566617755,0.14081730593798555,652.0162616003661,-18.710259768147704,601.7341209792235,1.2426849330192014,-2904.246029980392,-55.087667598600866
22,0.7333333333333333,561.2784435013323,5835.595631536419,0.1395,-0.037112057658209366,-0.30836361492111986,0.1422145065768991,659.3071025756417,-16.35117083517733,603.1631667951752,0.4028761086795255,-2944.6256100575024,-46.31545583391913
23,0.7666666666666666,562.2410007464623,5818.732847297925,0.1395,-0.03717422877092828,-0.3099777949711858,0.14329308934122353,665.3772355164085,-12.09085452996137,606.5762353382765,-0.42453266687536884,-2978.6414760275466,-36.16669225846744
24,0.7999999999999999,563.2034056478298,5801.836969312095,0.1395,-0.03735989359784348,-0.31060857561938243,0.14402481697928077,669.3616789641218,-4.753092745633481,612.0300503841916,-1.279202989251071,-3005.6273063252006,-24.758348337976564
