,throttle,elevator,aileron,rudder
0,1.0,-0.01821096453413813,0.0,0.0
1,1.0,-0.024641264175198487,0.11213001948003612,-0.023501024074750174
2,1.0,-0.02963510451584496,0.14684581412914705,-0.03384697179739454
3,1.0,-0.03341711674806356,0.14128016483385725,-0.03654441806967281
4,1.0,-0.036193826230275165,0.12126182321736502,-0.03582975107305667
5,1.0,-0.03815910433330121,0.10074789545742695,-0.034221364024228075
6,1.0,-0.039484975622002136,0.08542206537635791,-0.03291444008194381
7,1.0,-0.0403138400278056,0.0759269899520672,-0.032233558764994896
8,1.0,-0.040759260138485055,0.07111047691982854,-0.032128774145463355
9,1.0,-0.04091067744215954,0.06903294217671647,-0.03236344530415054
10,1.0,-0.04083987673348337,0.06812780942656589,-0.03272039785896571
11,1.0,-0.04060727069950448,0.06793090141095662,-0.03314800068312429
12,1.0,-0.040259326677383016,0.06754005713933796,-0.0334962015345773
13,1.0,-0.03983624462921774,0.06680383964650637,-0.03374631484505036
14,1.0,-0.03937366595364844,0.0661317914627773,-0.033998014790332376
15,1.0,-0.03889698559296307,0.06530393337983185,-0.03422092671793634
16,1.0,-0.03842704836109736,0.06447177808359533,-0.03444659275628415
17,1.0,-0.0379801747064116,0.06361500241986083,-0.03468667748661943
18,1.0,-0.03756807163676306,0.06262229340976301,-0.034931411806659034
19,1.0,-0.037199291905230206,0.0616869321207579,-0.03522115212061859
20,1.0,-0.03687963098922979,0.060919005915372144,-0.0355847938652531
21,1.0,-0.036612030768330604,0.060257073613780965,-0.036015046253445045
22,1.0,-0.03639658572505153,0.05947011534443885,-0.036468739809146736
23,1.0,-0.036232624617121685,0.05869682425431006,-0.03695973134541205
24,1.0,-0.03611871977021513,0.05800756841184212,-0.03750898040459544
25,1.0,-0.036051850731151996,0.05721568410699596,-0.03809228450610731
26,1.0,-0.0360284906484529,0.05627697544998274,-0.03869712795686643
27,1.0,-0.03604460627233901,0.05528971437126324,-0.03932268185129998
28,1.0,-0.036096198535544105,0.05457579661014701,-0.04000233426992966
29,1.0,-0.03617975667827096,0.05426449181872343,-0.04077358632294742
30,1.0,-0.03628879310233688,0.05361424847260071,-0.04150450929695522
31,1.0,-0.03641846674212857,0.05238422357076249,-0.04214431253429562
32,1.0,-0.03656608429731698,0.05095159896446284,-0.04274808310617546
33,1.0,-0.03673086074856866,0.05024522499673414,-0.043466625239386394
34,1.0,-0.03690752528578948,0.04983770140883906,-0.04423762587069873
35,1.0,-0.03709181160571312,0.049275756049290485,-0.04496827195054363
36,1.0,-0.037281281656698646,0.0486184399541585,-0.04565854019013857
37,1.0,-0.03747336182782016,0.047945540573703406,-0.04633090571044591
38,1.0,-0.037665342549793375,0.04716790305426207,-0.04696468596861488
39,1.0,-0.037856579456155955,0.04640932178473344,-0.04757177223760213
40,1.0,-0.03804584197779827,0.04571688074839379,-0.04815851440601811
41,1.0,-0.03823064675763807,0.044958961635969935,-0.04870257404771554
42,1.0,-0.038409265241972426,0.044157978819524026,-0.04920073614347732
43,1.0,-0.038582999496744985,0.04341567647639857,-0.04967741436694247
44,1.0,-0.03875243974050012,0.04275308354710254,-0.050142190181790045
45,1.0,-0.03891697057008413,0.04213425273441531,-0.05058874822368249
46,1.0,-0.03907477096064514,0.04146626050338655,-0.050994876300265765
47,1.0,-0.03922382020838066,0.04071422150006361,-0.05134275310735404
48,1.0,-0.03936810396595263,0.04037006025634246,-0.05172019148767041
49,1.0,-0.03950534077085419,0.03989843502315725,-0.0520560939403638
50,1.0,-0.03963385683063699,0.0389602753953634,-0.05230054579979843
51,0.991659235951035,-0.03975463445290918,0.037689441212801295,-0.05247022813107105
52,0.9113798990391917,-0.03987131204533526,0.03669272256029602,-0.0526484177300108
53,0.8284127685907112,-0.039986699813451126,0.03638367410223033,-0.05290632882299807
54,0.7429098138979686,-0.04009693737650277,0.036061834379677526,-0.053150955172132704
55,0.6556170582562704,-0.04020097874622954,0.03557479084848283,-0.05334950230119135
56,0.5676364780343892,-0.04030039434505737,0.03511234304453473,-0.05354018190086514
57,0.4798192538590645,-0.040395553404282206,0.034654365426251124,-0.05372332501777765
58,0.39268439404824745,-0.040487498190910125,0.03417023927294372,-0.05388832794367408
59,0.3068228592805174,-0.040577554840122855,0.033706312345055,-0.05404366047184829
60,0.22281128945232537,-0.040665590224645755,0.033192631199868636,-0.054181848028838915
61,0.14123993961115572,-0.04075198941762206,0.032626134698976884,-0.05430053307436891
62,0.1395,-0.040839787695334445,0.032122586447269244,-0.05442340700670427
63,0.1395,-0.040930576451038383,0.0317174460557943,-0.05455958225434583
64,0.1395,-0.04102406588037747,0.03135330120079784,-0.054699361946371976
65,0.1395,-0.04111815122098878,0.03088526053737856,-0.05481511887406012
66,0.1395,-0.04121387864010314,0.03043447824248825,-0.05492391019091676
67,0.1395,-0.041312173494746224,0.030017744284373617,-0.055036237633340465
68,0.1395,-0.04141223686589964,0.02954339146032339,-0.055141324034055
69,0.1395,-0.04151376032196944,0.029020688496628724,-0.055238201076056724
70,0.1395,-0.04161696959812688,0.02856205569955245,-0.05533664284158432
71,0.1395,-0.041722712479444674,0.02828691704608233,-0.05546224721276591
72,0.1395,-0.04182868665752397,0.02796939130922237,-0.05557915802735322
73,0.1395,-0.041933343574910076,0.027484639943026794,-0.05566318708514005
74,0.1395,-0.042037281929007124,0.0269265436819601,-0.05572986353877925
75,0.1395,-0.042142977591715494,0.026581897441148864,-0.055830329683707484
76,0.1395,-0.04224835971092112,0.0262929917715202,-0.05594256364376063
